Title,Publication Title,DOI,Authors,Year,Link,Type,read,Repeated,ACM,SCOPUS,IEEE,WOS
“It Looks All the&#xa0;Same to&#xa0;Me”: Cross-Index Training for&#xa0;Long-Term Financial Series Prediction,"Machine Learning, Optimization, and Data Science",10.1007/978-3-031-53969-5_26,Stanislav Selitskiy,2024,https://link.springer.com/chapter/10.1007/978-3-031-53969-5_26,Conference paper,,removed,no,no,no,no
<i>GPSP-CLIP</i>: learning generic pseudo-state prompts for flexible zero-shot anomaly detection,Applied Intelligence,10.1007/s10489-025-06843-1,Weiyu HuShubo ZhouYongbin GaoXue-Qin Jiang,2025,https://link.springer.com/article/10.1007/s10489-025-06843-1,Article,,removed,no,no,no,no
<i>UTransBPNet</i> for cuffless and calibration-free blood pressure estimation under dynamic conditions,Scientific Reports,10.1038/s41598-025-02963-3,Yali ZhengHongda HuangJiasheng GaoJingyuan HongShenghao WuYuanting ZhangQing Liu,2025,https://link.springer.com/article/10.1038/s41598-025-02963-3,Article,,removed,no,no,no,no
2D-Variation convolution-based generative adversarial network for unsupervised time series anomaly detection: a MSTL enhanced data preprocessing approach,Applied Intelligence,10.1007/s10489-025-06469-3,Qingdong WangLei ZouWeibo Liu,2025,https://link.springer.com/article/10.1007/s10489-025-06469-3,Article,,removed,no,no,no,no
36th European Congress of Pathology – Abstracts,Virchows Archiv,10.1007/s00428-024-03880-y,,2024,https://link.springer.com/article/10.1007/s00428-024-03880-y,Article,,removed,no,no,no,no
A Brief Review of Domain Adaptation,Advances in Data Science and Information Engineering,10.1007/978-3-030-71704-9_65,Abolfazl FarahaniSahar VoghoeiKhaled RasheedHamid R. Arabnia,2021,https://link.springer.com/chapter/10.1007/978-3-030-71704-9_65,Conference paper,yes,moved,no,no,no,no
A bias extraction and penalty method for robust visual question answering,Applied Intelligence,10.1007/s10489-025-06962-9,Lixia ZhangBingqian HuangZichao PangYun Liang,2025,https://link.springer.com/article/10.1007/s10489-025-06962-9,Article,,removed,no,no,no,no
A Broad Study of Pre-training for Domain Generalization and Adaptation,Computer Vision – ECCV 2022,10.1007/978-3-031-19827-4_36,Donghyun KimKaihong WangStan SclaroffKate Saenko,2022,https://link.springer.com/chapter/10.1007/978-3-031-19827-4_36,Conference paper,yes,moved,no,no,no,no
A class-aware multi-stage UDA framework for prostate zonal segmentation,Multimedia Tools and Applications,10.1007/s11042-023-18095-7,Zibo MaYue MiBo ZhangZheng ZhangYu BaiJingyun WuHaiwen HuangWendong Wang,2024,https://link.springer.com/article/10.1007/s11042-023-18095-7,Article,yes,moved,no,no,no,no
A calibration framework toward model generalization for bacteria concentration estimation in water resource recovery facilities,Scientific Reports,10.1038/s41598-024-82598-y,Fahad AljehaniIbrahima N’DoyePei-Ying HongMohammad Khalil MonjedTaous-Meriem Laleg-Kirati,2024,https://link.springer.com/article/10.1038/s41598-024-82598-y,Article,,removed,no,no,no,no
A Closer Look at Benchmarking Self-supervised Pre-training with Image Classification,International Journal of Computer Vision,10.1007/s11263-025-02402-w,Markus MarksManuel KnottNeehar KondapaneniElijah ColeThijs DefraeyeFernando Perez-CruzPietro Perona,2025,https://link.springer.com/article/10.1007/s11263-025-02402-w,Article,yes,moved,no,no,no,no
A Comparison of Covariate Shift Detection Methods on Medical Datasets,Computer Aided Systems Theory – EUROCAST 2022,10.1007/978-3-031-25312-6_57,Stephan Dreiseitl,2022,https://link.springer.com/chapter/10.1007/978-3-031-25312-6_57,Conference paper,yes,moved,no,no,no,no
A Comparison of&#xa0;Monitoring Techniques for&#xa0;Deep Neural Networks,Bridging the Gap Between AI and Reality,10.1007/978-3-031-75434-0_13,Ezio BartocciWasim Essbai,2025,https://link.springer.com/chapter/10.1007/978-3-031-75434-0_13,Conference paper,yes,moved,no,no,no,no
"A comparative deep learning framework for grape leaf disease classification using EfficientNetB0, InceptionV3, and Xception",Discover Applied Sciences,10.1007/s42452-025-07457-5,Midhun P. Mathew,2025,https://link.springer.com/article/10.1007/s42452-025-07457-5,Article,,removed,no,no,no,no
A Comprehensive Study on Robustness of Image Classification Models: Benchmarking and Rethinking,International Journal of Computer Vision,10.1007/s11263-024-02196-3,Chang LiuYinpeng DongWenzhao XiangXiao YangHang SuJun ZhuYuefeng ChenYuan HeHui XueShibao Zheng,2024,https://link.springer.com/article/10.1007/s11263-024-02196-3,Article,yes,moved,no,no,no,yes
A Comprehensive Survey on Test-Time Adaptation Under Distribution Shifts,International Journal of Computer Vision,10.1007/s11263-024-02181-w,Jian LiangRan HeTieniu Tan,2024,https://link.springer.com/article/10.1007/s11263-024-02181-w,Article,yes,moved,yes,no,no,no
A comprehensive analysis of perturbation methods in explainable AI feature attribution validation for neural time series classifiers,Scientific Reports,10.1038/s41598-025-09538-2,Ilija ŠimićEduardo VeasVedran Sabol,2025,https://link.springer.com/article/10.1038/s41598-025-09538-2,Article,,removed,no,no,no,no
"A comprehensive review of digital twin—part 2: roles of uncertainty quantification and optimization, a battery digital twin, and perspectives",Structural and Multidisciplinary Optimization,10.1007/s00158-022-03410-x,Adam ThelenXiaoge ZhangOlga FinkYan LuSayan GhoshByeng D. YounMichael D. ToddSankaran MahadevanChao HuZhen Hu,2022,https://link.springer.com/article/10.1007/s00158-022-03410-x,Article,,removed,no,no,no,no
A comprehensive review of digital twin&#xa0;—&#xa0;part 1: modeling and twinning enabling technologies,Structural and Multidisciplinary Optimization,10.1007/s00158-022-03425-4,Adam ThelenXiaoge ZhangOlga FinkYan LuSayan GhoshByeng D. YounMichael D. ToddSankaran MahadevanChao HuZhen Hu,2022,https://link.springer.com/article/10.1007/s00158-022-03425-4,Article,,removed,no,no,no,no
A Deep Ensemble Approach for Lung Disease Classification in Chest X-Ray Across Data Distribution Shifts and Unseen Data Generalization,SN Computer Science,10.1007/s42979-024-03164-x,Jutika BorahHidam Kumarjit SinghKumaresh Sarmah,2024,https://link.springer.com/article/10.1007/s42979-024-03164-x,Article,yes,yes,yes,no,no,no
"A comprehensive survey of federated transfer learning: challenges, methods and applications",Frontiers of Computer Science,10.1007/s11704-024-40065-x,Wei GuoFuzhen ZhuangXiao ZhangYiqi TongJin Dong,2024,https://link.springer.com/article/10.1007/s11704-024-40065-x,Article,,removed,no,no,no,no
A deep learning system for prostate cancer diagnosis and grading in whole slide images of core needle biopsies,Scientific Reports,10.1038/s41598-022-07217-0,Nitin SinghalShailesh SoniSaikiran BonthuNilanjan ChattopadhyayPranab SamantaUttara JoshiAmit JojeraTaher ChharchhodawalaAnkur AgarwalMahesh DesaiArvind Ganpule,2022,https://link.springer.com/article/10.1038/s41598-022-07217-0,Article,yes,moved,no,no,no,no
"A Comprehensive Survey on Trustworthy Graph Neural Networks: Privacy, Robustness, Fairness, and Explainability",Machine Intelligence Research,10.1007/s11633-024-1510-8,Enyan DaiTianxiang ZhaoHuaisheng ZhuJunjie XuZhimeng GuoHui LiuJiliang TangSuhang Wang,2024,https://link.springer.com/article/10.1007/s11633-024-1510-8,Article,,removed,no,no,no,no
A contemporary survey on image reconstruction with unsupervised deep learning: from denoising to generation,Visual Intelligence,10.1007/s44267-025-00092-z,Duoduo XueWenrui DaiZiyang ZhengJunni ZouHongkai Xiong,2025,https://link.springer.com/article/10.1007/s44267-025-00092-z,Article,,removed,no,no,no,no
A context-aware deconfounding autoencoder for robust prediction of personalized clinical drug response from cell-line compound screening,Nature Machine Intelligence,10.1038/s42256-022-00541-0,Di HeQiao LiuYou WuLei Xie,2022,https://link.springer.com/article/10.1038/s42256-022-00541-0,Article,,removed,no,no,no,yes
A continual active learning approach to adapt neural networks to distribution shifts in quality monitoring applications,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-025-15786-3,Johannes C. BauerStephan TrattnigPaul GengTim RaffinRüdiger Daub,2025,https://link.springer.com/article/10.1007/s00170-025-15786-3,Article,,removed,no,no,no,no
A critical examination of robustness and generalizability of machine learning prediction of materials properties,npj Computational Materials,10.1038/s41524-023-01012-9,Kangming LiBrian DeCostKamal ChoudharyMichael GreenwoodJason Hattrick-Simpers,2023,https://link.springer.com/article/10.1038/s41524-023-01012-9,Article,,removed,no,no,no,yes
A Critical Review on Segmentation of Glioma Brain Tumor and Prediction of Overall Survival,Archives of Computational Methods in Engineering,10.1007/s11831-024-10188-2,Novsheena RasoolJavaid Iqbal Bhat,2024,https://link.springer.com/article/10.1007/s11831-024-10188-2,Article,,removed,no,no,no,no
A Cross-Lingual Meta-Learning Method Based on&#xa0;Domain Adaptation for&#xa0;Speech Emotion Recognition,Web Information Systems Engineering – WISE 2024,10.1007/978-981-96-0579-8_9,David-Gabriel IonRăzvan-Alexandru SmăduDumitru-Clementin CercelFlorin PopMihaela-Claudia Cercel,2025,https://link.springer.com/chapter/10.1007/978-981-96-0579-8_9,Conference paper,,removed,no,no,no,no
A dataset for environmental sound recognition in embedded systems for autonomous vehicles,Scientific Data,10.1038/s41597-025-05446-2,André Luiz FlorentinoEva Laussac DinizPlinio Thomaz Aquino-Jr,2025,https://link.springer.com/article/10.1038/s41597-025-05446-2,Article,,removed,no,no,no,no
A deep semi-supervised learning approach to the detection of glaucoma on out-of-distribution retinal fundus image datasets,BMC Ophthalmology,10.1186/s12886-025-04153-1,Lei WangXiaoyun ZhangZhongwen LiShuchen YuYabo WuShaodan ZhangGaoqiang JiangBihan TianChenyang MeiJiantao PuYuanbo LiangQuanyong YiWencan Wu,2025,https://link.springer.com/article/10.1186/s12886-025-04153-1,Article,yes,moved,no,no,no,no
A generalizable 3D framework and model for self-supervised learning in medical imaging,npj Digital Medicine,10.1038/s41746-025-02035-w,Tony XuSepehr HosseiniChris AndersonAnthony RinaldiRahul G. KrishnanAnne L. MartelMaged Goubran,2025,https://link.springer.com/article/10.1038/s41746-025-02035-w,Article,yes,moved,no,no,no,no
A generalizable deep learning regression model for automated glaucoma screening from fundus images,npj Digital Medicine,10.1038/s41746-023-00857-0,Ruben HemelingsBart ElenAlexander K. SchusterMatthew B. BlaschkoJoão Barbosa-BredaPekko HujanenAnnika JunglasStefan NickelsAndrew WhiteNorbert PfeifferPaul MitchellPatrick De BoeverAnja TuulonenIngeborg Stalmans,2023,https://link.springer.com/article/10.1038/s41746-023-00857-0,Article,yes,moved,no,no,no,no
A deep neural network surrogate modeling benchmark for temperature field prediction of heat source layout,"Science China Physics, Mechanics & Astronomy",10.1007/s11433-021-1755-6,Xianqi ChenXiaoyu ZhaoZhiqiang GongJun ZhangWeien ZhouXiaoqian ChenWen Yao,2021,https://link.springer.com/article/10.1007/s11433-021-1755-6,Article,,removed,no,no,no,no
A Likelihood Ratio-Based Approach to Segmenting Unknown Objects,International Journal of Computer Vision,10.1007/s11263-025-02509-0,Nazir NayalYoussef ShoebFatma Güney,2025,https://link.springer.com/article/10.1007/s11263-025-02509-0,Article,yes,moved,no,no,no,no
A Novel Data Augmentation Technique for&#xa0;Out-of-Distribution Sample Detection Using Compounded Corruptions,Machine Learning and Knowledge Discovery in Databases,10.1007/978-3-031-26409-2_32,Ramya HebbalaguppeSoumya Suvra GhosalJatin PrakashHarshad KhadilkarChetan Arora,2023,https://link.springer.com/chapter/10.1007/978-3-031-26409-2_32,Conference paper,yes,moved,no,no,no,no
A feature selection method based on Shapley values robust for concept shift in regression,Neural Computing and Applications,10.1007/s00521-024-09745-4,Carlos SebastiánCarlos E. González-Guillén,2024,https://link.springer.com/article/10.1007/s00521-024-09745-4,Article,,removed,no,no,no,no
A foundation model for clinical-grade computational pathology and rare cancers detection,Nature Medicine,10.1038/s41591-024-03141-0,Eugene VorontsovAlican BozkurtAdam CassonGeorge ShaikovskiMichal ZelechowskiKristen SeversonEric ZimmermannJames HallNeil TenenholtzNicolo FusiEllen YangPhilippe MathieuAlexander van EckDonghun LeeJulian ViretEric RobertYi Kan WangJeremy D. KunzMatthew C. H. LeeJan H. BernhardRan A. GodrichGerard OakleyEwan MillarMatthew HannaHannah WenJuan A. RetameroWilliam A. MoyeRazik YousfiChristopher KananDavid S. KlimstraBrandon RothrockSiqi LiuThomas J. Fuchs,2024,https://link.springer.com/article/10.1038/s41591-024-03141-0,Article,,removed,no,no,no,no
A framework to evaluate machine learning crystal stability predictions,Nature Machine Intelligence,10.1038/s42256-025-01055-1,Janosh RiebesellRhys E. A. GoodallPhilipp BennerYuan ChiangBowen DengGerbrand CederMark AstaAlpha A. LeeAnubhav JainKristin A. Persson,2025,https://link.springer.com/article/10.1038/s42256-025-01055-1,Article,,removed,no,no,no,no
A Stable Vision Transformer for&#xa0;Out-of-Distribution Generalization,Pattern Recognition and Computer Vision,10.1007/978-981-99-8543-2_27,Haoran YuBaodi LiuYingjie WangKai ZhangDapeng TaoWeifeng Liu,2024,https://link.springer.com/chapter/10.1007/978-981-99-8543-2_27,Conference paper,yes,moved,no,no,no,no
A study of generalization and compatibility performance of 3D U-Net segmentation on multiple heterogeneous liver CT datasets,BMC Medical Imaging,10.1186/s12880-021-00708-y,Baochun HeDalong YinXiaoxia ChenHuoling LuoDeqiang XiaoMu HeGuisheng WangChihua FangLianxin LiuFucang Jia,2021,https://link.springer.com/article/10.1186/s12880-021-00708-y,Article,yes,moved,no,no,no,no
A Generalized Unknown Malware Classification,Security and Privacy in Communication Networks,10.1007/978-3-031-25538-0_41,Nanda RaniAyushi MishraRahul KumarSarbajit GhoshSandeep K. ShuklaPriyanka Bagade,2023,https://link.springer.com/chapter/10.1007/978-3-031-25538-0_41,Conference paper,,removed,no,no,no,no
A Generative Approach to Generalize Deep Learning Models for Pavement Distress Segmentation,Data Science for Transportation,10.1007/s42421-025-00118-4,Abhishek Kumar PrajapatiIlgin Guler,2025,https://link.springer.com/article/10.1007/s42421-025-00118-4,Article,,removed,no,no,no,no
A Good Feature Extractor Is All You Need for&#xa0;Weakly Supervised Pathology Slide Classification,Computer Vision – ECCV 2024 Workshops,10.1007/978-3-031-91721-9_5,Georg WölfleinDyke FerberAsier Rabasco MeneghettiOmar S. M. El NahhasDaniel TruhnZunamys I. CarreroDavid J. HarrisonOgnjen ArandjelovićJakob Nikolas Kather,2025,https://link.springer.com/chapter/10.1007/978-3-031-91721-9_5,Conference paper,,removed,no,no,no,no
A hybrid framework for improving uncertainty quantification in deep learning-based QSAR regression modeling,Journal of Cheminformatics,10.1186/s13321-021-00551-x,Dingyan WangJie YuLifan ChenXutong LiHualiang JiangKaixian ChenMingyue ZhengXiaomin Luo,2021,https://link.springer.com/article/10.1186/s13321-021-00551-x,Article,,removed,no,no,no,yes
A Study on Data Augmentation Techniques for Visual Defect Detection in Manufacturing,Bildverarbeitung in der Automation,10.1007/978-3-662-66769-9_6,Lars LeyendeckerShobhit AgarwalThorben WernerMaximilian MotzRobert H. Schmitt,2023,https://link.springer.com/chapter/10.1007/978-3-662-66769-9_6,Conference paper,yes,moved,no,no,no,no
A Non-monolithic Policy Approach of&#xa0;Offline-to-Online Reinforcement Learning,Neural Information Processing,10.1007/978-981-96-6954-7_4,JaeYoon KimJunyu XuanChristy LiangFarookh Hussain,2025,https://link.springer.com/chapter/10.1007/978-981-96-6954-7_4,Conference paper,,removed,no,no,no,no
A Survey of Data Augmentation in Domain Generalization,Neural Processing Letters,10.1007/s11063-025-11747-9,Yingyi ZhongWen’an ZhouZhixian Wang,2025,https://link.springer.com/article/10.1007/s11063-025-11747-9,Article,yes,moved,no,no,no,no
A novel intelligent bearing fault diagnosis method based on signal process and multi-kernel joint distribution adaptation,Scientific Reports,10.1038/s41598-023-31648-y,Jundi XiongShihai CuiHaihong Tang,2023,https://link.springer.com/article/10.1038/s41598-023-31648-y,Article,,removed,no,no,no,no
A novel meta-learning method based on relation network for train bearing fault diagnosis,Nonlinear Dynamics,10.1007/s11071-025-11555-9,Hao ZhongDeqiang HeHaimeng SunChangfu HeZhenpeng Lao,2025,https://link.springer.com/article/10.1007/s11071-025-11555-9,Article,,removed,no,no,no,no
A One-class Model for Voice Replay Attack Detection,Handbook of Biometric Anti-Spoofing,10.1007/978-981-19-5288-3_14,Xingliang ChengLantian LiMingxing XuDong WangThomas Fang Zheng,2023,https://link.springer.com/chapter/10.1007/978-981-19-5288-3_14,Chapter,,removed,no,no,no,yes
A predictive framework for liquid electrolytes takes root with BAMBOO,Nature Machine Intelligence,10.1038/s42256-025-01071-1,Ioan-Bogdan MagdăuGábor Csányi,2025,https://link.springer.com/article/10.1038/s42256-025-01071-1,Article,,removed,no,no,no,no
A Prompt-Driven and Energy-Guided Framework for Multimodal Aspect-Based Sentiment Analysis,Advanced Intelligent Computing Technology and Applications,10.1007/978-981-96-9908-7_31,Zuotao FuXuejiao WanGuanghui He,2025,https://link.springer.com/chapter/10.1007/978-981-96-9908-7_31,Conference paper,,removed,no,no,no,no
A real-time and general method for converting offline skeleton-based action recognition to online ones,Journal of Real-Time Image Processing,10.1007/s11554-025-01625-x,Liheng DongGuiqing HeZhaoxiang ZhangYuelei XuTian HuiXin XuChengyang TaoHuafeng Li,2025,https://link.springer.com/article/10.1007/s11554-025-01625-x,Article,,removed,no,no,no,no
A survey of deep learning for industrial visual anomaly detection,Artificial Intelligence Review,10.1007/s10462-025-11287-7,Zhuo LiYuhao YanXiangheng WangYifei GeLin Meng,2025,https://link.springer.com/article/10.1007/s10462-025-11287-7,Article,yes,moved,no,no,no,no
A review of spam email detection: analysis of spammer strategies and the dataset shift problem,Artificial Intelligence Review,10.1007/s10462-022-10195-4,Francisco Jáñez-MartinoRocío Alaiz-RodríguezVíctor González-CastroEduardo FidalgoEnrique Alegre,2022,https://link.springer.com/article/10.1007/s10462-022-10195-4,Article,,removed,no,no,no,no
A survey of uncertainty in deep neural networks,Artificial Intelligence Review,10.1007/s10462-023-10562-9,Jakob GawlikowskiCedrique Rovile Njieutcheu TassiMohsin AliJongseok LeeMatthias HumtJianxiang FengAnna KruspeRudolph TriebelPeter JungRibana RoscherMuhammad ShahzadWen YangRichard BamlerXiao Xiang Zhu,2023,https://link.springer.com/article/10.1007/s10462-023-10562-9,Article,yes,moved,no,no,no,no
A Three-Stage Model Fusion Method for&#xa0;Out-of-Distribution Generalization,Computer Vision – ECCV 2022 Workshops,10.1007/978-3-031-25075-0_33,Jiahao WangHao WangZhuojun DongHua YangYuting YangQianyue BaoFang LiuLiCheng Jiao,2023,https://link.springer.com/chapter/10.1007/978-3-031-25075-0_33,Conference paper,yes,moved,no,no,no,no
A Unified Detector for&#xa0;Both Adversarial Attacks and&#xa0;Out-of-Distribution Samples Based on&#xa0;Kernel Path Distribution,Advances in Knowledge Discovery and Data Mining,10.1007/978-981-96-8170-9_5,Seonggyeom KimMinju KimDong-Kyu Chae,2025,https://link.springer.com/chapter/10.1007/978-981-96-8170-9_5,Conference paper,yes,moved,no,no,no,no
Adapter Learning in&#xa0;Pretrained Feature Extractor for&#xa0;Continual Learning of&#xa0;Diseases,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,10.1007/978-3-031-43895-0_7,Wentao ZhangYujun HuangTong ZhangQingsong ZouWei-Shi ZhengRuixuan Wang,2023,https://link.springer.com/chapter/10.1007/978-3-031-43895-0_7,Conference paper,yes,moved,no,no,no,no
A substrate-less nanomesh receptor with meta-learning for rapid hand task recognition,Nature Electronics,10.1038/s41928-022-00888-7,Kyun Kyu KimMin KimKyungrok PyunJin KimJinki MinSeunghun KohSamuel E. RootJaewon KimBao-Nguyen T. NguyenYuya NishioSeonggeun HanJoonhwa ChoiC-Yoon KimJeffrey B.-H. TokSungho JoSeung Hwan KoZhenan Bao,2022,https://link.springer.com/article/10.1038/s41928-022-00888-7,Article,,removed,no,no,no,no
Adaptive Neural Networks for&#xa0;Online Domain Incremental Continual Learning,Discovery Science,10.1007/978-3-031-18840-4_7,Nuwan GunasekaraHeitor GomesAlbert BifetBernhard Pfahringer,2022,https://link.springer.com/chapter/10.1007/978-3-031-18840-4_7,Conference paper,yes,moved,no,no,no,no
Adaptive Online Domain Incremental Continual Learning,Artificial Neural Networks and Machine Learning – ICANN 2022,10.1007/978-3-031-15919-0_41,Nuwan GunasekaraHeitor GomesAlbert BifetBernhard Pfahringer,2022,https://link.springer.com/chapter/10.1007/978-3-031-15919-0_41,Conference paper,yes,moved,no,no,no,no
Advancing crowd counting accuracy in diverse environments via comprehensive domain alignment strategies,Multimedia Systems,10.1007/s00530-025-01766-w,Junjie YeWenxiao ZhangXun Yang,2025,https://link.springer.com/article/10.1007/s00530-025-01766-w,Article,yes,moved,no,no,no,no
A survey of recent advances in analysis of skin images,Evolutionary Intelligence,10.1007/s12065-024-00977-w,Pragya GuptaJagannath NirmalNinad Mehendale,2024,https://link.springer.com/article/10.1007/s12065-024-00977-w,Article,,removed,no,no,no,no
